parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_raw[Palmares],-0.136,0.209,-0.518,0.258,0.009,0.004,592.0,1241.0,1.0
alpha_raw[Palmas],0.882,0.346,0.263,1.535,0.008,0.005,2086.0,3200.0,1.0
alpha_raw[Parauapebas],-0.035,0.312,-0.595,0.57,0.008,0.004,1585.0,2879.0,1.0
alpha_raw[Parnamirim],-0.205,0.269,-0.701,0.312,0.008,0.004,1184.0,1924.0,1.0
alpha_raw[Paulista],-0.887,0.212,-1.293,-0.501,0.009,0.004,601.0,1197.0,1.0
alpha_raw[Paulo Afonso],0.327,0.18,-0.017,0.653,0.009,0.004,439.0,992.0,1.01
alpha_raw[Petrolina],-0.127,0.209,-0.503,0.265,0.009,0.004,603.0,1246.0,1.0
alpha_raw[Picos],-0.479,0.393,-1.163,0.317,0.007,0.005,2787.0,3639.0,1.0
alpha_raw[Porciúncula],-1.591,0.227,-2.005,-1.163,0.01,0.004,524.0,1189.0,1.01
alpha_raw[Porto Nacional],-1.231,0.359,-1.888,-0.544,0.008,0.005,1928.0,2931.0,1.0
alpha_raw[Porto Seguro],1.616,0.175,1.291,1.946,0.008,0.004,483.0,1045.0,1.01
alpha_raw[Porto Velho],0.546,0.345,-0.083,1.194,0.008,0.005,2058.0,2789.0,1.0
alpha_raw[Queimadas],-1.94,0.374,-2.625,-1.227,0.008,0.006,2053.0,3361.0,1.0
alpha_raw[Queimados],-1.222,0.216,-1.634,-0.828,0.01,0.004,518.0,1059.0,1.01
alpha_raw[Quipapá],-1.429,0.227,-1.865,-1.014,0.009,0.004,604.0,1265.0,1.0
alpha_raw[Quixeramobim],-0.505,0.215,-0.883,-0.08,0.009,0.005,551.0,1049.0,1.01
alpha_raw[Quixeré],-0.287,0.218,-0.68,0.139,0.009,0.005,542.0,1125.0,1.01
alpha_raw[Recife],1.759,0.249,1.313,2.237,0.01,0.005,603.0,1364.0,1.0
alpha_raw[Reriutaba],-0.984,0.218,-1.389,-0.571,0.009,0.005,532.0,998.0,1.01
alpha_raw[Resplendor],-0.498,0.245,-0.959,-0.051,0.01,0.005,667.0,1238.0,1.0
alpha_raw[Riachão do Jacuípe],1.304,0.166,1.0,1.616,0.008,0.004,468.0,1024.0,1.0
alpha_raw[Ribeira do Pombal],1.01,0.171,0.694,1.325,0.008,0.004,435.0,933.0,1.01
alpha_raw[Ribeirão Preto],0.148,0.233,-0.281,0.599,0.008,0.004,928.0,1749.0,1.0
alpha_raw[Ribeirão das Neves],-0.807,0.243,-1.253,-0.355,0.01,0.005,653.0,1470.0,1.0
alpha_raw[Rio de Janeiro],2.027,0.273,1.504,2.527,0.012,0.005,508.0,1234.0,1.01
alpha_raw[Russas],-0.721,0.216,-1.137,-0.328,0.009,0.005,521.0,1040.0,1.01
alpha_raw[Salgueiro],-0.585,0.213,-0.971,-0.179,0.009,0.004,625.0,1339.0,1.0
alpha_raw[Salvador],2.911,0.209,2.514,3.296,0.009,0.005,557.0,1034.0,1.01
alpha_raw[Santa Cruz],-0.12,0.268,-0.629,0.372,0.008,0.004,1218.0,2097.0,1.0
alpha_raw[Santa Cruz do Capibaribe],-0.226,0.209,-0.615,0.16,0.009,0.004,600.0,1373.0,1.0
alpha_raw[Santarém],-0.725,0.318,-1.334,-0.141,0.008,0.004,1487.0,2756.0,1.0
alpha_raw[Santo Antônio de Jesus],-0.563,0.212,-0.974,-0.179,0.01,0.004,470.0,1084.0,1.01
alpha_raw[Santo Antônio de Pádua],-1.257,0.218,-1.643,-0.832,0.01,0.004,499.0,1283.0,1.01
alpha_raw[Santos],0.258,0.234,-0.198,0.693,0.008,0.004,912.0,1745.0,1.0
alpha_raw[Saquarema],-1.036,0.214,-1.458,-0.656,0.009,0.004,515.0,1194.0,1.01
alpha_raw[Seabra],-0.357,0.204,-0.75,0.013,0.009,0.004,489.0,1150.0,1.01
alpha_raw[Simão Dias],-0.08,0.287,-0.616,0.466,0.007,0.004,1481.0,1941.0,1.0
alpha_raw[Simões Filho],1.206,0.168,0.897,1.522,0.008,0.004,471.0,1011.0,1.01
alpha_raw[Sobral],-0.342,0.216,-0.75,0.063,0.009,0.005,528.0,968.0,1.01
alpha_raw[Sorocaba],0.451,0.233,0.04,0.91,0.008,0.004,919.0,1761.0,1.0
alpha_raw[São Carlos],-0.227,0.238,-0.67,0.221,0.008,0.004,892.0,1778.0,1.0
alpha_raw[São Cristóvão],-0.326,0.289,-0.869,0.209,0.008,0.004,1417.0,2209.0,1.0
alpha_raw[São Desidério],0.131,0.192,-0.233,0.489,0.009,0.004,447.0,1001.0,1.01
alpha_raw[São Francisco do Conde],1.699,0.173,1.366,2.016,0.008,0.004,488.0,1085.0,1.01
alpha_raw[São Gonçalo],0.412,0.22,0.02,0.841,0.01,0.004,487.0,1221.0,1.01
alpha_raw[São José do Rio Preto],0.291,0.233,-0.155,0.714,0.008,0.004,929.0,1755.0,1.0
alpha_raw[São José dos Campos],0.011,0.235,-0.416,0.462,0.008,0.004,933.0,1827.0,1.0
alpha_raw[São João de Meriti],-0.956,0.214,-1.342,-0.549,0.01,0.004,490.0,1067.0,1.01
alpha_raw[São Luís],0.404,0.401,-0.35,1.16,0.007,0.005,3338.0,4113.0,1.0
