parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_innov_s[RR, 2018-05-13 00:00:00]",0.045,0.929,-1.675,1.77,0.009,0.013,11482.0,4541.0,1.0
"z_innov_s[RR, 2018-05-20 00:00:00]",0.043,0.951,-1.71,1.831,0.009,0.014,10233.0,4256.0,1.0
"z_innov_s[RR, 2018-05-27 00:00:00]",-0.061,0.96,-1.937,1.649,0.009,0.014,10865.0,4623.0,1.0
"z_innov_s[RR, 2018-06-03 00:00:00]",-0.017,0.965,-1.725,1.864,0.01,0.014,9253.0,4223.0,1.0
"z_innov_s[RR, 2018-06-10 00:00:00]",0.009,0.959,-1.763,1.799,0.009,0.015,11983.0,4408.0,1.0
"z_innov_s[RR, 2018-06-17 00:00:00]",0.112,0.959,-1.713,1.887,0.009,0.014,11946.0,4236.0,1.0
"z_innov_s[RR, 2018-06-24 00:00:00]",0.132,0.935,-1.708,1.851,0.009,0.014,11025.0,4248.0,1.0
"z_innov_s[RR, 2018-07-01 00:00:00]",0.272,0.962,-1.519,2.05,0.009,0.013,10927.0,4750.0,1.0
"z_innov_s[RR, 2018-07-08 00:00:00]",0.265,0.923,-1.456,1.985,0.009,0.012,10179.0,4351.0,1.0
"z_innov_s[RR, 2018-07-15 00:00:00]",0.204,0.941,-1.588,1.931,0.008,0.013,12873.0,4549.0,1.0
"z_innov_s[RR, 2018-07-22 00:00:00]",0.131,0.927,-1.638,1.834,0.009,0.014,11538.0,4664.0,1.0
"z_innov_s[RR, 2018-07-29 00:00:00]",0.157,0.927,-1.641,1.826,0.009,0.013,11348.0,4553.0,1.0
"z_innov_s[RR, 2018-08-05 00:00:00]",0.014,0.929,-1.679,1.776,0.009,0.013,10081.0,4671.0,1.0
"z_innov_s[RR, 2018-08-12 00:00:00]",0.092,0.949,-1.74,1.783,0.009,0.015,10880.0,3891.0,1.0
"z_innov_s[RR, 2018-08-19 00:00:00]",0.004,0.95,-1.642,1.902,0.009,0.014,10925.0,4236.0,1.0
"z_innov_s[RR, 2018-08-26 00:00:00]",-0.054,0.929,-1.723,1.783,0.009,0.013,11040.0,4399.0,1.0
"z_innov_s[RR, 2018-09-02 00:00:00]",-0.103,0.949,-1.959,1.609,0.009,0.015,10845.0,4310.0,1.0
"z_innov_s[RR, 2018-09-09 00:00:00]",0.036,0.926,-1.693,1.779,0.009,0.013,10212.0,4405.0,1.0
"z_innov_s[RR, 2018-09-16 00:00:00]",0.157,0.948,-1.61,1.931,0.009,0.013,10480.0,4650.0,1.0
"z_innov_s[RR, 2018-09-23 00:00:00]",0.071,0.934,-1.587,1.927,0.009,0.014,10287.0,4163.0,1.0
"z_innov_s[RR, 2018-09-30 00:00:00]",0.002,0.921,-1.815,1.644,0.009,0.013,11340.0,4195.0,1.0
"z_innov_s[RR, 2018-10-07 00:00:00]",-0.056,0.928,-1.806,1.723,0.009,0.013,9984.0,4431.0,1.0
"z_innov_s[RR, 2018-10-14 00:00:00]",-0.199,0.961,-2.1,1.491,0.009,0.013,11547.0,4699.0,1.0
"z_innov_s[RR, 2018-10-21 00:00:00]",-0.2,0.978,-2.116,1.535,0.009,0.014,12063.0,4139.0,1.0
"z_innov_s[RR, 2018-10-28 00:00:00]",-0.207,0.931,-1.985,1.523,0.009,0.012,11906.0,4954.0,1.0
"z_innov_s[RR, 2018-11-04 00:00:00]",-0.091,0.93,-1.904,1.61,0.009,0.013,11173.0,4551.0,1.0
"z_innov_s[RR, 2018-11-11 00:00:00]",-0.073,0.939,-1.85,1.68,0.009,0.013,10804.0,4381.0,1.0
"z_innov_s[RR, 2018-11-18 00:00:00]",0.021,0.976,-1.801,1.822,0.009,0.015,12392.0,4107.0,1.0
"z_innov_s[RR, 2018-11-25 00:00:00]",0.166,0.931,-1.529,1.938,0.009,0.013,11279.0,4512.0,1.0
"z_innov_s[RR, 2018-12-02 00:00:00]",-0.123,0.935,-1.833,1.653,0.009,0.013,10633.0,4554.0,1.0
"z_innov_s[RR, 2018-12-09 00:00:00]",-0.05,0.966,-1.828,1.801,0.009,0.013,11549.0,4566.0,1.0
"z_innov_s[RR, 2018-12-16 00:00:00]",-0.062,0.985,-1.902,1.819,0.009,0.015,11533.0,4276.0,1.0
"z_innov_s[RR, 2018-12-23 00:00:00]",-0.045,0.939,-1.786,1.757,0.009,0.013,12046.0,4653.0,1.0
"z_innov_s[RR, 2018-12-30 00:00:00]",0.096,0.944,-1.587,1.924,0.009,0.013,11086.0,4476.0,1.0
"z_innov_s[RR, 2019-01-06 00:00:00]",-0.018,0.942,-1.738,1.76,0.008,0.013,12328.0,4705.0,1.0
"z_innov_s[RR, 2019-01-13 00:00:00]",-0.004,0.965,-1.795,1.753,0.009,0.015,10830.0,3938.0,1.0
"z_innov_s[RR, 2019-01-20 00:00:00]",-0.067,0.942,-1.868,1.677,0.009,0.014,9996.0,4304.0,1.0
"z_innov_s[RR, 2019-01-27 00:00:00]",-0.191,0.958,-2.026,1.574,0.009,0.014,11017.0,3398.0,1.0
"z_innov_s[RR, 2019-02-03 00:00:00]",-0.217,0.927,-1.935,1.546,0.009,0.014,10410.0,4749.0,1.0
"z_innov_s[RR, 2019-02-10 00:00:00]",-0.193,0.97,-2.012,1.656,0.009,0.015,11978.0,3833.0,1.0
"z_innov_s[RR, 2019-02-17 00:00:00]",-0.177,0.938,-1.946,1.565,0.009,0.015,11819.0,4548.0,1.0
"z_innov_s[RR, 2019-02-24 00:00:00]",-0.363,0.934,-2.104,1.424,0.008,0.014,12565.0,4380.0,1.0
"z_innov_s[RR, 2019-03-03 00:00:00]",-0.327,0.95,-2.13,1.453,0.008,0.015,13093.0,4421.0,1.0
"z_innov_s[RR, 2019-03-10 00:00:00]",-0.307,0.948,-2.195,1.387,0.009,0.014,10557.0,4533.0,1.0
"z_innov_s[RR, 2019-03-17 00:00:00]",-0.182,0.94,-1.957,1.575,0.009,0.013,12243.0,4675.0,1.0
"z_innov_s[RR, 2019-03-24 00:00:00]",-0.313,0.958,-2.128,1.457,0.009,0.014,10329.0,3802.0,1.0
"z_innov_s[RR, 2019-03-31 00:00:00]",-0.362,0.941,-2.063,1.452,0.009,0.013,11901.0,4560.0,1.0
"z_innov_s[RR, 2019-04-07 00:00:00]",-0.237,0.94,-1.935,1.519,0.009,0.013,10331.0,4798.0,1.0
"z_innov_s[RR, 2019-04-14 00:00:00]",-0.143,0.962,-1.958,1.649,0.009,0.014,11900.0,4041.0,1.0
"z_innov_s[RR, 2019-04-21 00:00:00]",-0.035,0.941,-1.82,1.715,0.009,0.013,10222.0,4907.0,1.0
"z_innov_s[RR, 2019-04-28 00:00:00]",-0.127,0.957,-1.922,1.639,0.009,0.014,11414.0,3625.0,1.0
"z_innov_s[RR, 2019-05-05 00:00:00]",-0.076,0.955,-1.906,1.679,0.009,0.014,11081.0,4211.0,1.0
"z_innov_s[RR, 2019-05-12 00:00:00]",-0.005,0.974,-1.756,1.862,0.009,0.015,11645.0,3975.0,1.0
"z_innov_s[RR, 2019-05-19 00:00:00]",0.058,0.968,-1.732,1.854,0.009,0.014,10701.0,4415.0,1.0
"z_innov_s[RR, 2019-05-26 00:00:00]",0.085,0.971,-1.717,1.93,0.009,0.014,11977.0,4380.0,1.0
"z_innov_s[RR, 2019-06-02 00:00:00]",0.081,0.962,-1.724,1.837,0.01,0.013,10005.0,4934.0,1.0
"z_innov_s[RR, 2019-06-09 00:00:00]",0.061,0.948,-1.682,1.884,0.009,0.014,11639.0,4387.0,1.0
"z_innov_s[RR, 2019-06-16 00:00:00]",0.135,0.968,-1.717,1.907,0.009,0.014,12444.0,4407.0,1.0
"z_innov_s[RR, 2019-06-23 00:00:00]",0.191,0.97,-1.562,2.069,0.009,0.016,13079.0,4160.0,1.0
"z_innov_s[RR, 2019-06-30 00:00:00]",0.144,0.957,-1.64,1.979,0.009,0.013,10797.0,4123.0,1.0
"z_innov_s[RR, 2019-07-07 00:00:00]",0.111,0.981,-1.753,1.971,0.01,0.015,10638.0,4273.0,1.0
"z_innov_s[RR, 2019-07-14 00:00:00]",0.196,0.95,-1.715,1.844,0.009,0.014,10350.0,4225.0,1.0
"z_innov_s[RR, 2019-07-21 00:00:00]",0.188,0.952,-1.688,1.888,0.009,0.014,10823.0,4355.0,1.0
"z_innov_s[RR, 2019-07-28 00:00:00]",0.181,0.981,-1.585,2.08,0.009,0.014,11117.0,4303.0,1.0
"z_innov_s[RR, 2019-08-04 00:00:00]",0.321,0.934,-1.443,2.074,0.01,0.013,9095.0,4269.0,1.0
"z_innov_s[RR, 2019-08-11 00:00:00]",0.219,0.955,-1.525,2.039,0.009,0.013,11753.0,4679.0,1.0
"z_innov_s[RR, 2019-08-18 00:00:00]",0.205,0.957,-1.516,2.0,0.009,0.014,11250.0,3877.0,1.0
"z_innov_s[RR, 2019-08-25 00:00:00]",0.343,0.928,-1.504,1.989,0.009,0.013,9569.0,4224.0,1.0
"z_innov_s[RR, 2019-09-01 00:00:00]",0.284,0.966,-1.459,2.148,0.009,0.014,11154.0,4307.0,1.0
"z_innov_s[RR, 2019-09-08 00:00:00]",0.26,0.942,-1.437,2.044,0.009,0.013,11530.0,4489.0,1.0
"z_innov_s[RR, 2019-09-15 00:00:00]",0.184,0.941,-1.579,1.938,0.009,0.013,11061.0,4206.0,1.0
"z_innov_s[RR, 2019-09-22 00:00:00]",0.145,0.936,-1.643,1.867,0.01,0.013,9670.0,4288.0,1.0
"z_innov_s[RR, 2019-09-29 00:00:00]",0.065,0.929,-1.618,1.865,0.009,0.013,10306.0,4619.0,1.0
"z_innov_s[RR, 2019-10-06 00:00:00]",0.132,0.944,-1.588,1.956,0.009,0.014,10507.0,4244.0,1.0
"z_innov_s[RR, 2019-10-13 00:00:00]",-0.047,0.953,-1.873,1.669,0.01,0.014,9514.0,4208.0,1.0
"z_innov_s[RR, 2019-10-20 00:00:00]",-0.112,0.927,-1.923,1.567,0.009,0.014,11381.0,4612.0,1.0
"z_innov_s[RR, 2019-10-27 00:00:00]",-0.117,0.932,-1.872,1.563,0.009,0.014,11360.0,4410.0,1.0
"z_innov_s[RR, 2019-11-03 00:00:00]",-0.119,0.956,-1.801,1.776,0.009,0.014,11353.0,4268.0,1.0
"z_innov_s[RR, 2019-11-10 00:00:00]",-0.139,0.942,-1.894,1.655,0.009,0.014,10661.0,4458.0,1.0
"z_innov_s[RR, 2019-11-17 00:00:00]",-0.218,0.945,-2.0,1.554,0.009,0.014,10100.0,4006.0,1.0
"z_innov_s[RR, 2019-11-24 00:00:00]",-0.287,0.948,-1.979,1.639,0.01,0.014,9826.0,4404.0,1.0
"z_innov_s[RR, 2019-12-01 00:00:00]",-0.302,0.945,-2.078,1.425,0.01,0.013,8764.0,4534.0,1.0
"z_innov_s[RR, 2019-12-08 00:00:00]",-0.31,0.952,-2.1,1.468,0.009,0.014,11753.0,4694.0,1.0
"z_innov_s[RR, 2019-12-15 00:00:00]",-0.253,0.964,-2.151,1.425,0.01,0.015,10063.0,4478.0,1.0
"z_innov_s[RR, 2019-12-22 00:00:00]",-0.162,0.949,-1.987,1.549,0.009,0.014,11137.0,4546.0,1.0
"z_innov_s[RR, 2019-12-29 00:00:00]",-0.273,0.943,-1.933,1.599,0.01,0.014,9779.0,4397.0,1.0
"z_innov_s[RR, 2020-01-05 00:00:00]",-0.249,0.964,-2.052,1.568,0.009,0.014,11472.0,4427.0,1.0
"z_innov_s[RR, 2020-01-12 00:00:00]",-0.133,0.967,-1.927,1.664,0.009,0.014,12682.0,4618.0,1.0
"z_innov_s[RR, 2020-01-19 00:00:00]",-0.095,0.96,-1.844,1.736,0.009,0.014,11811.0,4336.0,1.0
"z_innov_s[RR, 2020-01-26 00:00:00]",-0.057,0.959,-1.784,1.782,0.01,0.013,10154.0,4728.0,1.0
"z_innov_s[RR, 2020-02-02 00:00:00]",-0.148,0.959,-1.936,1.638,0.01,0.013,9825.0,4691.0,1.0
"z_innov_s[RR, 2020-02-09 00:00:00]",-0.254,0.966,-2.058,1.593,0.01,0.014,8695.0,3889.0,1.0
"z_innov_s[RR, 2020-02-16 00:00:00]",-0.234,0.934,-2.106,1.393,0.009,0.014,11781.0,4304.0,1.0
"z_innov_s[RR, 2020-02-23 00:00:00]",-0.324,0.947,-2.059,1.436,0.009,0.014,11238.0,3711.0,1.0
"z_innov_s[RR, 2020-03-01 00:00:00]",-0.44,0.989,-2.214,1.503,0.01,0.015,10634.0,3970.0,1.0
"z_innov_s[RR, 2020-03-08 00:00:00]",-0.454,0.943,-2.23,1.314,0.009,0.014,10782.0,4605.0,1.0
"z_innov_s[RR, 2020-03-15 00:00:00]",-0.528,0.948,-2.184,1.351,0.01,0.014,9383.0,4102.0,1.0
"z_innov_s[RR, 2020-03-22 00:00:00]",-0.575,0.953,-2.429,1.16,0.009,0.015,11486.0,4240.0,1.0
"z_innov_s[RR, 2020-03-29 00:00:00]",-0.586,0.972,-2.338,1.272,0.009,0.014,10867.0,4416.0,1.0
"z_innov_s[RR, 2020-04-05 00:00:00]",-0.449,0.967,-2.34,1.329,0.009,0.015,11406.0,4159.0,1.0
"z_innov_s[RR, 2020-04-12 00:00:00]",-0.33,0.952,-2.088,1.468,0.009,0.014,10766.0,4641.0,1.0
"z_innov_s[RR, 2020-04-19 00:00:00]",-0.27,0.954,-2.059,1.558,0.009,0.013,10574.0,4060.0,1.0
"z_innov_s[RR, 2020-04-26 00:00:00]",-0.152,0.932,-1.888,1.609,0.009,0.013,10603.0,4245.0,1.0
"z_innov_s[RR, 2020-05-03 00:00:00]",-0.111,0.95,-1.891,1.696,0.009,0.014,11802.0,4566.0,1.0
"z_innov_s[RR, 2020-05-10 00:00:00]",-0.01,0.951,-1.813,1.755,0.01,0.013,9833.0,4612.0,1.0
"z_innov_s[RR, 2020-05-17 00:00:00]",-0.269,0.977,-2.133,1.533,0.009,0.015,12267.0,4044.0,1.0
"z_innov_s[RR, 2020-05-24 00:00:00]",-0.299,0.976,-2.008,1.632,0.01,0.013,10439.0,3751.0,1.0
"z_innov_s[RR, 2020-05-31 00:00:00]",-0.202,0.964,-1.985,1.604,0.009,0.014,11761.0,4603.0,1.0
"z_innov_s[RR, 2020-06-07 00:00:00]",-0.162,0.971,-1.929,1.691,0.009,0.015,11472.0,4700.0,1.0
"z_innov_s[RR, 2020-06-14 00:00:00]",-0.043,0.972,-1.877,1.819,0.009,0.014,11330.0,4103.0,1.0
"z_innov_s[RR, 2020-06-21 00:00:00]",-0.037,0.951,-1.786,1.763,0.009,0.014,11676.0,4384.0,1.0
"z_innov_s[RR, 2020-06-28 00:00:00]",0.079,0.952,-1.659,1.922,0.01,0.013,9648.0,4398.0,1.0
"z_innov_s[RR, 2020-07-05 00:00:00]",0.01,0.949,-1.808,1.738,0.01,0.013,9604.0,4462.0,1.0
"z_innov_s[RR, 2020-07-12 00:00:00]",0.11,0.938,-1.594,1.906,0.008,0.013,12635.0,4499.0,1.0
"z_innov_s[RR, 2020-07-19 00:00:00]",0.201,0.964,-1.576,2.04,0.008,0.014,12847.0,4291.0,1.0
"z_innov_s[RR, 2020-07-26 00:00:00]",0.208,0.948,-1.513,1.983,0.009,0.014,10392.0,4742.0,1.0
"z_innov_s[RR, 2020-08-02 00:00:00]",0.108,0.962,-1.703,1.924,0.009,0.014,11654.0,3987.0,1.0
"z_innov_s[RR, 2020-08-09 00:00:00]",0.112,0.95,-1.631,1.916,0.008,0.014,12815.0,4152.0,1.0
"z_innov_s[RR, 2020-08-16 00:00:00]",0.01,0.977,-1.901,1.773,0.009,0.015,13129.0,4023.0,1.0
"z_innov_s[RR, 2020-08-23 00:00:00]",0.1,0.952,-1.726,1.851,0.009,0.015,11019.0,3789.0,1.0
"z_innov_s[RR, 2020-08-30 00:00:00]",-0.13,0.964,-1.939,1.677,0.009,0.014,10516.0,4423.0,1.0
"z_innov_s[RR, 2020-09-06 00:00:00]",-0.028,0.948,-1.744,1.761,0.009,0.014,10858.0,4604.0,1.0
"z_innov_s[RR, 2020-09-13 00:00:00]",-0.047,0.953,-1.826,1.697,0.009,0.014,11202.0,4557.0,1.0
"z_innov_s[RR, 2020-09-20 00:00:00]",0.038,0.968,-1.709,1.953,0.009,0.014,11350.0,4106.0,1.0
"z_innov_s[RR, 2020-09-27 00:00:00]",0.023,0.952,-1.817,1.768,0.009,0.013,10675.0,3902.0,1.0
"z_innov_s[RR, 2020-10-04 00:00:00]",0.006,0.94,-1.793,1.753,0.009,0.014,11858.0,4598.0,1.0
"z_innov_s[RR, 2020-10-11 00:00:00]",-0.168,0.956,-1.932,1.643,0.009,0.014,11539.0,4657.0,1.0
"z_innov_s[RR, 2020-10-18 00:00:00]",-0.217,0.97,-1.939,1.647,0.009,0.015,11090.0,4527.0,1.0
"z_innov_s[RR, 2020-10-25 00:00:00]",-0.118,0.951,-1.795,1.781,0.009,0.014,11994.0,4502.0,1.0
"z_innov_s[RR, 2020-11-01 00:00:00]",-0.058,0.944,-1.847,1.671,0.009,0.013,10654.0,4552.0,1.0
"z_innov_s[RR, 2020-11-08 00:00:00]",0.069,0.973,-1.683,2.001,0.009,0.014,12122.0,4593.0,1.0
"z_innov_s[RR, 2020-11-15 00:00:00]",-0.11,0.966,-1.852,1.782,0.01,0.013,9185.0,4337.0,1.0
"z_innov_s[RR, 2020-11-22 00:00:00]",-0.167,1.015,-2.103,1.702,0.009,0.015,11691.0,4033.0,1.0
"z_innov_s[RR, 2020-11-29 00:00:00]",-0.205,0.983,-2.0,1.69,0.009,0.015,11602.0,4089.0,1.0
"z_innov_s[RR, 2020-12-06 00:00:00]",-0.128,0.974,-1.918,1.68,0.009,0.013,12117.0,4142.0,1.0
"z_innov_s[RR, 2020-12-13 00:00:00]",-0.263,0.976,-2.048,1.577,0.009,0.014,11297.0,4297.0,1.0
"z_innov_s[RR, 2020-12-20 00:00:00]",-0.171,0.976,-2.048,1.632,0.009,0.015,11480.0,4286.0,1.0
"z_innov_s[RR, 2020-12-27 00:00:00]",-0.091,0.998,-1.96,1.784,0.009,0.014,11685.0,4436.0,1.0
"z_innov_s[SC, 2015-01-11 00:00:00]",-0.298,0.971,-2.133,1.508,0.009,0.013,10820.0,4244.0,1.0
"z_innov_s[SC, 2015-01-18 00:00:00]",-0.222,0.979,-1.939,1.71,0.01,0.015,9786.0,3954.0,1.0
"z_innov_s[SC, 2015-01-25 00:00:00]",-0.179,0.95,-1.976,1.547,0.009,0.013,10688.0,4459.0,1.0
"z_innov_s[SC, 2015-02-01 00:00:00]",-0.131,0.985,-1.883,1.863,0.01,0.014,9938.0,4046.0,1.0
"z_innov_s[SC, 2015-02-08 00:00:00]",-0.069,0.981,-2.007,1.681,0.009,0.015,11630.0,4117.0,1.0
"z_innov_s[SC, 2015-02-15 00:00:00]",-0.007,0.959,-1.786,1.828,0.009,0.014,10806.0,3992.0,1.0
"z_innov_s[SC, 2015-02-22 00:00:00]",0.068,0.962,-1.743,1.908,0.01,0.014,9990.0,4320.0,1.0
"z_innov_s[SC, 2015-03-01 00:00:00]",0.144,0.97,-1.614,2.004,0.009,0.015,10906.0,4528.0,1.0
"z_innov_s[SC, 2015-03-08 00:00:00]",0.203,0.992,-1.677,2.036,0.01,0.014,9984.0,3845.0,1.0
"z_innov_s[SC, 2015-03-15 00:00:00]",0.1,0.993,-1.732,1.987,0.01,0.014,10426.0,4187.0,1.0
"z_innov_s[SC, 2015-03-22 00:00:00]",0.175,0.951,-1.644,1.962,0.01,0.014,9907.0,4349.0,1.0
"z_innov_s[SC, 2015-03-29 00:00:00]",0.246,0.942,-1.458,2.062,0.01,0.012,8743.0,4631.0,1.0
"z_innov_s[SC, 2015-04-05 00:00:00]",0.15,0.945,-1.643,1.892,0.009,0.013,10044.0,4204.0,1.0
"z_innov_s[SC, 2015-04-12 00:00:00]",0.238,0.948,-1.573,2.023,0.009,0.013,11454.0,4793.0,1.0
"z_innov_s[SC, 2015-04-19 00:00:00]",0.334,0.951,-1.512,1.992,0.009,0.013,11073.0,4660.0,1.0
"z_innov_s[SC, 2015-04-26 00:00:00]",0.077,0.972,-1.819,1.847,0.009,0.015,12830.0,4568.0,1.0
"z_innov_s[SC, 2015-05-03 00:00:00]",0.168,0.957,-1.607,1.921,0.009,0.013,11150.0,4409.0,1.0
"z_innov_s[SC, 2015-05-10 00:00:00]",0.265,0.97,-1.422,2.208,0.009,0.013,12131.0,4267.0,1.0
"z_innov_s[SC, 2015-05-17 00:00:00]",0.357,0.981,-1.448,2.196,0.009,0.014,11744.0,4434.0,1.0
"z_innov_s[SC, 2015-05-24 00:00:00]",0.119,0.939,-1.582,1.891,0.008,0.012,12684.0,4516.0,1.0
"z_innov_s[SC, 2015-05-31 00:00:00]",0.228,0.949,-1.576,1.949,0.009,0.012,10099.0,4813.0,1.0
"z_innov_s[SC, 2015-06-07 00:00:00]",0.211,0.934,-1.501,2.004,0.009,0.013,9902.0,4598.0,1.0
"z_innov_s[SC, 2015-06-14 00:00:00]",-0.05,0.942,-1.818,1.702,0.009,0.014,10734.0,4398.0,1.0
"z_innov_s[SC, 2015-06-21 00:00:00]",-0.145,0.966,-1.935,1.675,0.009,0.013,11764.0,4727.0,1.0
"z_innov_s[SC, 2015-06-28 00:00:00]",-0.044,0.942,-1.817,1.695,0.009,0.014,10916.0,4469.0,1.0
"z_innov_s[SC, 2015-07-05 00:00:00]",0.056,0.961,-1.728,1.871,0.009,0.014,10784.0,4013.0,1.0
"z_innov_s[SC, 2015-07-12 00:00:00]",-0.037,0.978,-1.9,1.775,0.009,0.014,11279.0,4571.0,1.0
"z_innov_s[SC, 2015-07-19 00:00:00]",0.045,0.976,-1.821,1.824,0.009,0.015,11693.0,4027.0,1.0
"z_innov_s[SC, 2015-07-26 00:00:00]",-0.036,0.952,-1.804,1.739,0.009,0.013,11330.0,4499.0,1.0
"z_innov_s[SC, 2015-08-02 00:00:00]",0.038,0.959,-1.679,1.94,0.009,0.015,11065.0,4173.0,1.0
"z_innov_s[SC, 2015-08-09 00:00:00]",0.113,0.95,-1.588,1.931,0.009,0.014,10802.0,4601.0,1.0
"z_innov_s[SC, 2015-08-16 00:00:00]",0.183,0.946,-1.588,1.964,0.009,0.013,11163.0,4565.0,1.0
"z_innov_s[SC, 2015-08-23 00:00:00]",0.28,0.996,-1.444,2.321,0.009,0.015,11696.0,4149.0,1.0
"z_innov_s[SC, 2015-08-30 00:00:00]",0.365,0.942,-1.346,2.177,0.009,0.014,11531.0,3901.0,1.0
"z_innov_s[SC, 2015-09-06 00:00:00]",0.242,0.959,-1.558,2.096,0.009,0.015,10430.0,4205.0,1.0
"z_innov_s[SC, 2015-09-13 00:00:00]",0.317,0.951,-1.537,2.037,0.009,0.013,10984.0,4303.0,1.0
"z_innov_s[SC, 2015-09-20 00:00:00]",0.421,0.977,-1.485,2.181,0.009,0.014,11295.0,4171.0,1.0
"z_innov_s[SC, 2015-09-27 00:00:00]",0.512,0.952,-1.251,2.294,0.009,0.014,10425.0,4310.0,1.0
"z_innov_s[SC, 2015-10-04 00:00:00]",0.619,0.962,-1.084,2.504,0.01,0.014,9921.0,4532.0,1.0
"z_innov_s[SC, 2015-10-11 00:00:00]",0.552,0.955,-1.294,2.303,0.009,0.014,11284.0,4689.0,1.0
"z_innov_s[SC, 2015-10-18 00:00:00]",0.169,0.95,-1.654,1.9,0.009,0.015,12065.0,3953.0,1.0
"z_innov_s[SC, 2015-10-25 00:00:00]",0.283,0.953,-1.518,2.053,0.009,0.013,10491.0,4516.0,1.0
"z_innov_s[SC, 2015-11-01 00:00:00]",0.416,0.942,-1.334,2.175,0.009,0.013,11047.0,4626.0,1.0
"z_innov_s[SC, 2015-11-08 00:00:00]",0.544,0.944,-1.177,2.414,0.009,0.013,10578.0,4695.0,1.0
"z_innov_s[SC, 2015-11-15 00:00:00]",0.566,0.944,-1.185,2.333,0.01,0.013,9654.0,4357.0,1.0
"z_innov_s[SC, 2015-11-22 00:00:00]",0.614,0.95,-1.209,2.389,0.009,0.013,10486.0,4576.0,1.0
"z_innov_s[SC, 2015-11-29 00:00:00]",0.397,0.952,-1.459,2.106,0.009,0.015,11711.0,4374.0,1.0
"z_innov_s[SC, 2015-12-06 00:00:00]",0.208,0.933,-1.602,1.91,0.008,0.013,12061.0,4470.0,1.0
"z_innov_s[SC, 2015-12-13 00:00:00]",0.309,0.941,-1.345,2.179,0.009,0.013,10820.0,4442.0,1.0
"z_innov_s[SC, 2015-12-20 00:00:00]",0.446,0.929,-1.307,2.153,0.009,0.013,9583.0,4235.0,1.0
"z_innov_s[SC, 2015-12-27 00:00:00]",0.167,0.959,-1.666,1.92,0.009,0.013,11326.0,4508.0,1.0
"z_innov_s[SC, 2016-01-03 00:00:00]",0.212,0.917,-1.523,1.901,0.008,0.014,12272.0,4334.0,1.0
"z_innov_s[SC, 2016-01-10 00:00:00]",0.334,0.939,-1.433,2.104,0.009,0.014,11210.0,3968.0,1.0
"z_innov_s[SC, 2016-01-17 00:00:00]",0.08,0.947,-1.67,1.87,0.009,0.013,11074.0,4741.0,1.0
"z_innov_s[SC, 2016-01-24 00:00:00]",0.057,0.937,-1.679,1.881,0.009,0.015,11244.0,4145.0,1.0
"z_innov_s[SC, 2016-01-31 00:00:00]",0.082,0.937,-1.745,1.813,0.009,0.014,11071.0,4435.0,1.0
"z_innov_s[SC, 2016-02-07 00:00:00]",0.196,0.95,-1.504,2.013,0.008,0.013,12395.0,4565.0,1.0
"z_innov_s[SC, 2016-02-14 00:00:00]",0.207,0.936,-1.571,1.897,0.009,0.013,10275.0,4518.0,1.0
"z_innov_s[SC, 2016-02-21 00:00:00]",0.196,0.921,-1.535,1.897,0.009,0.013,11184.0,3978.0,1.0
"z_innov_s[SC, 2016-02-28 00:00:00]",0.058,0.919,-1.649,1.781,0.009,0.014,10477.0,4805.0,1.0
"z_innov_s[SC, 2016-03-06 00:00:00]",0.021,0.938,-1.715,1.79,0.009,0.013,11785.0,4487.0,1.0
"z_innov_s[SC, 2016-03-13 00:00:00]",-0.081,0.939,-1.814,1.709,0.009,0.012,11119.0,4619.0,1.0
"z_innov_s[SC, 2016-03-20 00:00:00]",0.158,0.924,-1.622,1.819,0.009,0.012,9967.0,4808.0,1.0
"z_innov_s[SC, 2016-03-27 00:00:00]",-0.072,0.931,-1.807,1.646,0.009,0.014,9832.0,4486.0,1.0
"z_innov_s[SC, 2016-04-03 00:00:00]",-0.27,0.939,-1.958,1.544,0.009,0.013,9835.0,4167.0,1.0
"z_innov_s[SC, 2016-04-10 00:00:00]",-0.164,0.926,-1.896,1.573,0.009,0.013,10254.0,4520.0,1.0
"z_innov_s[SC, 2016-04-17 00:00:00]",-0.089,0.92,-1.805,1.578,0.009,0.012,10905.0,4614.0,1.0
"z_innov_s[SC, 2016-04-24 00:00:00]",-0.163,0.913,-1.87,1.563,0.009,0.014,10447.0,4157.0,1.0
"z_innov_s[SC, 2016-05-01 00:00:00]",-0.344,0.94,-2.153,1.332,0.009,0.012,10312.0,4868.0,1.0
"z_innov_s[SC, 2016-05-08 00:00:00]",-0.177,0.944,-1.935,1.62,0.009,0.014,10776.0,4245.0,1.0
"z_innov_s[SC, 2016-05-15 00:00:00]",-0.277,0.918,-2.033,1.383,0.009,0.012,10310.0,4527.0,1.0
"z_innov_s[SC, 2016-05-22 00:00:00]",-0.165,0.938,-1.889,1.608,0.009,0.013,11800.0,4347.0,1.0
"z_innov_s[SC, 2016-05-29 00:00:00]",-0.162,0.949,-1.936,1.633,0.009,0.013,10563.0,3921.0,1.0
"z_innov_s[SC, 2016-06-05 00:00:00]",0.015,0.961,-1.751,1.856,0.009,0.014,11435.0,4401.0,1.0
