parameter,r_hat,ess_bulk
alpha_raw|Rio de Janeiro,1.6682052448141793,4.978329242967804
alpha_raw|Russas,1.503319204519833,5.956358717714609
alpha_raw|Salgueiro,1.0685396747220044,34.51817745615536
alpha_raw|Salvador,1.4894439232126315,6.177349050851042
alpha_raw|Santa Cruz,1.081448422667974,24.652722797252235
alpha_raw|Santa Cruz do Capibaribe,1.0452220295883228,46.76992643416625
alpha_raw|Santarém,1.2281962263565152,10.213415714499233
alpha_raw|Santo Antônio de Jesus,1.3354268687225233,7.539274409451421
alpha_raw|Santo Antônio de Pádua,1.7991251341980308,4.647081251436204
alpha_raw|Santos,1.2762830162458436,8.60169531448436
alpha_raw|Saquarema,1.81701449826114,4.598912935898197
alpha_raw|Seabra,1.2587238249975186,9.349135831620773
alpha_raw|Simão Dias,1.4719604060442524,6.326181785678307
alpha_raw|Simões Filho,1.2916829402886738,8.43953693832007
alpha_raw|Sobral,1.4447564926893857,6.557889947542661
alpha_raw|Sorocaba,1.288510889696453,8.092377530843228
alpha_raw|São Carlos,1.3093368376394283,7.705470345136791
alpha_raw|São Cristóvão,1.5369509987676322,5.9028557284130345
alpha_raw|São Desidério,1.2895998032695712,8.397691251666489
alpha_raw|São Francisco do Conde,1.3386379818763925,7.460276283457842
alpha_raw|São Gonçalo,1.8204173132312218,4.576675522833597
alpha_raw|São José do Rio Preto,1.2780508592529007,8.349233062984192
alpha_raw|São José dos Campos,1.3071757742501573,7.772218627847834
alpha_raw|São João de Meriti,1.7902049461055782,4.673118073812529
alpha_raw|São Luís,1.0387455206134044,48.591839671923125
alpha_raw|São Paulo,1.298078644049675,8.078519192254864
alpha_raw|Teixeira de Freitas,1.4698281745663246,6.377837045959558
alpha_raw|Teresina,1.1471242423955466,14.658334238805915
alpha_raw|Teófilo Otoni,1.8460872019518841,4.456882511710005
alpha_raw|Três Lagoas,1.0900615966462874,23.92476838690017
alpha_raw|Uberaba,1.844104976193497,4.463054886811293
alpha_raw|Uberlândia,1.6958405420762357,4.839298155941534
alpha_raw|Ubá,1.8298155668959877,4.492780031701366
alpha_raw|Uibaí,1.2335337505171597,10.077355552979185
alpha_raw|Valente,1.2661706992949422,8.985026525530428
alpha_raw|Vilhena,1.032530417352312,65.56438318584645
alpha_raw|Vitória,1.0138710334319891,128.4387380528885
alpha_raw|Vitória da Conquista,1.4787769430921147,6.079618313242111
alpha_raw|Volta Redonda,1.7446350109539477,4.805478417645568
beta|humidity,1.0038415797289613,138.41360486049513
beta|month_cos,1.0188769788662926,77.4922505468185
beta|month_sin,1.02064311493583,131.5784993589348
beta|rainfall,1.0024467934953902,140.9221796139768
beta|temperature,1.014623523657038,126.85871888969635
mu_alpha,1.156171678308341,14.867584935479487
rho,1.058217139717189,33.75932632955804
sigma_alpha,1.369626898145437,7.206612936792067
sigma_z_state,1.0075589442520043,108.3237050129585
u_init_s|AL,1.0011691354404963,155.45216823754248
u_init_s|AM,1.0274426999662551,133.10656182433448
u_init_s|BA,1.0249510666471422,65.34192859297887
u_init_s|CE,1.0683149645451016,39.908096772716526
u_init_s|DF,1.03133406989633,108.04521989533397
u_init_s|ES,1.0212169340240078,226.1061175897128
u_init_s|GO,1.015348471408039,125.4275488208153
u_init_s|MA,1.0277005600045532,176.00029823040265
u_init_s|MG,1.153432712769378,14.75070263930411
u_init_s|MS,1.0484281956366475,39.647195419131144
u_init_s|MT,1.0357414891341876,44.85241792970679
u_init_s|PA,1.0201654970639715,141.22440190252976
u_init_s|PB,1.0178909196925439,165.52958905627042
u_init_s|PE,1.0479733831431333,115.82217588191425
u_init_s|PI,1.0130891899203438,93.79816770176255
u_init_s|PR,1.0028046317892858,213.55668330208388
u_init_s|RJ,1.0290243626256226,73.37434243646648
u_init_s|RN,1.0293814036253106,100.69963505878196
u_init_s|RO,1.007066335796119,177.59581810209173
u_init_s|RR,1.0248442269636076,150.92667644182862
u_init_s|SC,1.0029822468346434,202.21514746961822
u_init_s|SE,1.0753862094329087,33.40404032501203
u_init_s|SP,1.0513810373589227,54.627633878085845
u_init_s|TO,1.0141632052297862,96.38390278350779
z_innov_s|AL|2015-01-11 00:00:00,1.0585691121876963,54.305869267051406
z_innov_s|AL|2015-01-18 00:00:00,1.0497522878949257,48.28192429652628
z_innov_s|AL|2015-01-25 00:00:00,1.0214443602461307,157.22887929398175
z_innov_s|AL|2015-02-01 00:00:00,1.0389842805596403,92.12266905326764
z_innov_s|AL|2015-02-08 00:00:00,1.0194441398233762,133.2740929373057
z_innov_s|AL|2015-02-15 00:00:00,1.0069628117908158,159.12608888242974
z_innov_s|AL|2015-02-22 00:00:00,1.01740458822282,159.4061301895232
z_innov_s|AL|2015-03-01 00:00:00,1.0027886352465456,149.94442467654954
