cases_mean,cases_q05,cases_q95,risk_mean,risk_q05,risk_q95,threshold_cases,bayesian_risk
1.2456183453798295,0.8348676562309265,1.7619962692260742,0.48629672157764436,0.4078924059867859,0.5632809996604919,0.0,0.48629672157764436
0.9200013042092323,0.6148020625114441,1.2972899675369263,0.4235885401964188,0.34606388211250305,0.5006676316261292,0.0,0.4235885401964188
0.8127359130382538,0.5571342706680298,1.2007142305374146,0.39758614349365234,0.3268107771873474,0.4841030240058899,0.0,0.39758614349365234
0.8580219850540162,0.5832521915435791,1.2534961700439453,0.40883850800991056,0.3355255424976349,0.4915516674518585,0.0,0.40883850800991056
0.812434373497963,0.5442526340484619,1.1698932647705078,0.39781024503707885,0.3220416009426117,0.4794480502605438,0.0,0.39781024503707885
0.6692475244998932,0.43767231702804565,0.9726800918579102,0.35817599192261695,0.28049129247665405,0.43994149565696716,0.0,0.35817599192261695
0.7293704115152359,0.5053454041481018,1.0331672430038452,0.3760808758437634,0.30768364667892456,0.4536513388156891,0.0,0.3760808758437634
0.7391641063094139,0.4856775999069214,1.0787550210952759,0.37872101449966433,0.3000393211841583,0.4626837968826294,0.0,0.37872101449966433
0.769817398071289,0.5235881209373474,1.0729897022247314,0.38745422530174256,0.31485307216644287,0.4611131548881531,0.0,0.38745422530174256
0.6956943178772926,0.46353980898857117,1.0069026947021484,0.3660599234700203,0.29105374217033386,0.4478583335876465,0.0,0.3660599234700203
0.6959971597194672,0.45290055871009827,1.0071520805358887,0.3660620668232441,0.2865990996360779,0.4490203261375427,0.0,0.3660620668232441
0.6711610530018807,0.4549526870250702,0.9660610556602478,0.35924908411502837,0.2874268889427185,0.43858224153518677,0.0,0.35924908411502837
0.6358031883835793,0.41156914830207825,0.9010361433029175,0.348236088514328,0.2698986828327179,0.4233987033367157,0.0,0.348236088514328
0.6130703290700913,0.4051523804664612,0.8948491215705872,0.3408685609400272,0.26686960458755493,0.4225272834300995,0.0,0.3408685609400272
0.728471699655056,0.49140045046806335,1.0261478424072266,0.37546978613734244,0.3028445243835449,0.4510622024536133,0.0,0.37546978613734244
0.7674719207882881,0.5231708288192749,1.0902162790298462,0.3863528079390526,0.3140178322792053,0.46340399980545044,0.0,0.3863528079390526
0.7524537306427955,0.5085901618003845,1.0631290674209595,0.3823336296081543,0.3090071678161621,0.4590408205986023,0.0,0.3823336296081543
0.6966150614023209,0.4671330749988556,1.0159227848052979,0.3665091390907764,0.2925373911857605,0.44851887226104736,0.0,0.3665091390907764
0.7907177549004555,0.5138624906539917,1.1713285446166992,0.3914601945579052,0.3105524182319641,0.47955748438835144,0.0,0.3914601945579052
0.8906894502043724,0.5971078872680664,1.29815673828125,0.4162839941382408,0.3403298854827881,0.5015589594841003,0.0,0.4162839941382408
0.8818374980092049,0.5878711938858032,1.2836178541183472,0.41434622061252596,0.33657851815223694,0.4970138370990753,0.0,0.41434622061252596
0.9439426969289779,0.6115865707397461,1.3130226135253906,0.42846000373363496,0.34472334384918213,0.5023880004882812,0.0,0.42846000373363496
1.1159472714662553,0.7419314980506897,1.578957200050354,0.4632776427268982,0.3843576908111572,0.5405279994010925,0.0,0.4632776427268982
1.8168905831575393,1.2247447967529297,2.5479044914245605,0.36626386481523515,0.2805922329425812,0.4525966942310333,2.0,0.36626386481523515
1.9432725216150284,1.3306140899658203,2.742466449737549,0.3824802010655403,0.2994042932987213,0.46859315037727356,2.0,0.3824802010655403
2.055713233232498,1.4128117561340332,2.828690767288208,0.39596790182590486,0.3137650191783905,0.47719043493270874,2.0,0.39596790182590486
1.9381495596170426,1.347049355506897,2.718087673187256,0.3823535777032375,0.3024376630783081,0.4667541980743408,2.0,0.3823535777032375
2.5049980335235595,1.6591644287109375,3.6775124073028564,0.4405792932510376,0.3502030372619629,0.5365222692489624,2.0,0.4405792932510376
2.728953238248825,1.8501142263412476,4.100162982940674,0.46074304401874544,0.37723612785339355,0.5587257146835327,2.0,0.46074304401874544
2.791272328853607,1.8431898355484009,4.011788845062256,0.4666221559047699,0.3762308955192566,0.5546478033065796,2.0,0.4666221559047699
3.047459375143051,2.0919744968414307,4.267940044403076,0.48673752063512804,0.40613165497779846,0.5670390129089355,2.0,0.48673752063512804
4.2558778042793275,2.857945442199707,6.0748443603515625,0.5599146342873573,0.4783719778060913,0.6357206106185913,2.0,0.5599146342873573
5.35764490365982,3.6001663208007812,7.470269680023193,0.6075921813845635,0.5305953621864319,0.6744731664657593,2.0,0.6075921813845635
5.545620324134827,3.7635247707366943,7.873724460601807,0.6140450863838196,0.5423507690429688,0.6848446130752563,2.0,0.6140450863838196
5.55426863861084,3.8153467178344727,8.07406997680664,0.6147233786582946,0.5436887741088867,0.6893971562385559,2.0,0.6147233786582946
5.938255053043365,4.001325607299805,8.18541431427002,0.6275406444072723,0.5549847483634949,0.6908034682273865,2.0,0.6275406444072723
4.783097712993622,3.075505018234253,7.018160820007324,0.582324973165989,0.4951978027820587,0.6655119061470032,2.0,0.582324973165989
5.938702753543854,4.067169666290283,8.369141578674316,0.6274518439769745,0.5576720833778381,0.695021390914917,2.0,0.6274518439769745
5.714712812900543,3.8616981506347656,7.980653285980225,0.6205903769731521,0.5461335182189941,0.6855818033218384,2.0,0.6205903769731521
6.183559985637665,4.290196418762207,8.518949508666992,0.6359922446012497,0.5677767992019653,0.6979007720947266,2.0,0.6359922446012497
5.3486684498786925,3.7123422622680664,7.360726356506348,0.6081859794855118,0.5388355851173401,0.6744450926780701,2.0,0.6081859794855118
4.163996598005295,2.7891879081726074,6.059366226196289,0.5554427924752235,0.47288334369659424,0.6376141905784607,2.0,0.5554427924752235
3.198220995426178,2.1591267585754395,4.670917987823486,0.49723813676834105,0.41343411803245544,0.5848731398582458,2.0,0.49723813676834105
2.386934878349304,1.6064308881759644,3.3015658855438232,0.429968590259552,0.3430442214012146,0.5124056339263916,2.0,0.429968590259552
1.744979456782341,1.1950784921646118,2.4676830768585205,0.3573704574406147,0.2755986154079437,0.4451591670513153,2.0,0.3573704574406147
1.4743943258523942,1.0038862228393555,2.057882070541382,0.3186301827132702,0.23802782595157623,0.40194597840309143,2.0,0.3186301827132702
1.3202354658842086,0.9115778207778931,1.8756740093231201,0.29322203940153124,0.21805010735988617,0.3791964054107666,2.0,0.29322203940153124
1.143900610923767,0.7605443596839905,1.649375319480896,0.26152456176280975,0.1831285059452057,0.3495585322380066,2.0,0.26152456176280975
0.9187198985219002,0.6252050995826721,1.3252724409103394,0.21662308846414088,0.14893998205661774,0.29849401116371155,2.0,0.21662308846414088
0.8151460283994675,0.5404623746871948,1.1790484189987183,0.1934829148054123,0.12632402777671814,0.2726403474807739,2.0,0.1934829148054123
0.7548023188710212,0.51092529296875,1.0966951847076416,0.17921291466057301,0.11823511123657227,0.2566377520561218,2.0,0.17921291466057301
0.7364686435461044,0.475894033908844,1.049021601676941,0.17504174871742725,0.10853490978479385,0.2471989095211029,2.0,0.17504174871742725
0.7397605173587799,0.4797302782535553,1.051137924194336,0.1759361669719219,0.10957015305757523,0.24781709909439087,2.0,0.1759361669719219
0.5383054697513581,0.35671791434288025,0.7801768183708191,0.1249240120947361,0.07491421699523926,0.18771813809871674,2.0,0.1249240120947361
0.5007480638623237,0.32945960760116577,0.7318979501724243,0.11469146250933408,0.06718338280916214,0.17603330314159393,2.0,0.11469146250933408
0.46085870084166525,0.30045315623283386,0.6762597560882568,0.10385436878353357,0.05918094143271446,0.16209174692630768,2.0,0.10385436878353357
0.4579258949756622,0.29805198311805725,0.657310426235199,0.10305914843827486,0.0585126131772995,0.15728215873241425,2.0,0.10305914843827486
0.344318194180727,0.22832639515399933,0.5076124668121338,0.071568340908736,0.039478518068790436,0.11725689470767975,2.0,0.071568340908736
0.3075002236366272,0.20413672924041748,0.4437553584575653,0.06135953144729137,0.033178169280290604,0.09953510761260986,2.0,0.06135953144729137
0.3009265565574169,0.19543549418449402,0.4330775737762451,0.05954989230632782,0.031117528676986694,0.09653579443693161,2.0,0.05954989230632782
0.33103522849082945,0.20914725959300995,0.4688263237476349,0.06790950869768858,0.03452926501631737,0.10647478699684143,2.0,0.06790950869768858
0.34067683324217796,0.22524863481521606,0.5005953907966614,0.07057210161909461,0.038779329508543015,0.11543717235326767,2.0,0.07057210161909461
0.3229593118727207,0.2075694501399994,0.47792452573776245,0.0656198572255671,0.03412262350320816,0.10914823412895203,2.0,0.0656198572255671
0.3032646424472332,0.19350291788578033,0.434495747089386,0.060197515100240705,0.030567511916160583,0.09699083864688873,2.0,0.060197515100240705
0.321500757843256,0.21104902029037476,0.46872419118881226,0.06524009409174324,0.034923914819955826,0.10665583610534668,2.0,0.06524009409174324
0.2971152544915676,0.19660675525665283,0.4390906095504761,0.05851803091168404,0.03137311711907387,0.09822496026754379,2.0,0.05851803091168404
0.3304855170249939,0.2174137532711029,0.49584710597991943,0.0677248663827777,0.03658216819167137,0.11405840516090393,2.0,0.0677248663827777
0.3606878819167614,0.24008755385875702,0.5138231515884399,0.07610903311893344,0.04256309196352959,0.11904356628656387,2.0,0.07610903311893344
0.3940709455311298,0.2712516486644745,0.5696896910667419,0.08538074742630124,0.05099024251103401,0.13423071801662445,2.0,0.08538074742630124
0.4011692248880863,0.27064552903175354,0.5780200958251953,0.08737495637312531,0.050888542085886,0.13647685945034027,2.0,0.08737495637312531
0.45590750050544737,0.28877687454223633,0.6585082411766052,0.10249663573503494,0.0558793842792511,0.15755625069141388,2.0,0.10249663573503494
0.41252844020724294,0.2710171937942505,0.5936152338981628,0.09053969273343682,0.05107227340340614,0.1406290978193283,2.0,0.09053969273343682
0.38863411647081375,0.23389746248722076,0.5792855620384216,0.08384187825210393,0.0408475399017334,0.13680988550186157,2.0,0.08384187825210393
