parameter,r_hat,ess_bulk
alpha_district|Porto Velho,1.001562269138502,3553.139293447743
alpha_district|Queimadas,1.0008978464024028,2419.5075427132706
alpha_district|Queimados,1.0112760656098239,715.4293671141203
alpha_district|Quipapá,1.0035281609709203,790.9420362558114
alpha_district|Quixeramobim,1.007425679342795,786.3523684790645
alpha_district|Quixeré,1.0064666950019903,808.2189694499776
alpha_district|Recife,1.0038664811255786,788.7099739684273
alpha_district|Reriutaba,1.0067758188261215,816.9755476513013
alpha_district|Resplendor,1.000203393351781,1212.5017943548276
alpha_district|Riachão do Jacuípe,1.0051414091516997,714.2021207260776
alpha_district|Ribeira do Pombal,1.0044948991145988,714.0999333740085
alpha_district|Ribeirão Preto,1.0006414811333908,1686.1694039574081
alpha_district|Ribeirão das Neves,1.0000562517240188,1190.2372668911557
alpha_district|Rio de Janeiro,1.0118525598336752,697.4305674434411
alpha_district|Russas,1.0071673106805135,795.4019082038058
alpha_district|Salgueiro,1.0034278037447377,783.5063664356455
alpha_district|Salvador,1.004960252635008,690.7270530824185
alpha_district|Santa Cruz,1.0017483567093266,2000.118716247356
alpha_district|Santa Cruz do Capibaribe,1.0039721594305304,791.1764160238494
alpha_district|Santarém,1.0007970771504668,2486.453896512754
alpha_district|Santo Antônio de Jesus,1.0060370610841078,684.0544992254493
alpha_district|Santo Antônio de Pádua,1.0115227017228898,714.651343471561
alpha_district|Santos,1.0005522059290863,1662.5732183408484
alpha_district|Saquarema,1.0118209850278108,716.5832678402551
alpha_district|Seabra,1.0056690934308126,678.8333900014675
alpha_district|Simão Dias,1.0012230321914957,2756.3601103308174
alpha_district|Simões Filho,1.0049548665904504,666.3366483403477
alpha_district|Sobral,1.0066252422572486,797.8713226033883
alpha_district|Sorocaba,1.0006921509388498,1637.7131145460692
alpha_district|São Carlos,1.0007886883906398,1658.755145503632
alpha_district|São Cristóvão,1.0013697616293054,2741.8144975268865
alpha_district|São Desidério,1.0061839204389973,678.3751184459284
alpha_district|São Francisco do Conde,1.0045500491397712,671.2581241710513
alpha_district|São Gonçalo,1.012183777890346,627.2586986108349
alpha_district|São José do Rio Preto,1.0004634678943092,1650.5346308369797
alpha_district|São José dos Campos,1.0006778514872865,1683.5913263301193
alpha_district|São João de Meriti,1.0118426499608515,664.856671735059
alpha_district|São Luís,1.0008667142896681,5253.715131510156
alpha_district|São Paulo,1.000692947200894,1603.4856745020668
alpha_district|Teixeira de Freitas,1.0057342787621328,668.6177697015644
alpha_district|Teresina,1.0002785314713598,5630.181885215868
alpha_district|Teófilo Otoni,1.000329935129948,1167.6902838993597
alpha_district|Três Lagoas,1.0007382486062633,2791.8534630094928
alpha_district|Uberaba,1.0001811765988393,1199.587732835639
alpha_district|Uberlândia,1.0003080694611328,1142.7354713821867
alpha_district|Ubá,1.0002286601264812,1192.134752749012
alpha_district|Uibaí,1.0050351318374884,736.4753895589998
alpha_district|Valente,1.0048015115987923,716.4281383377885
alpha_district|Vilhena,1.0021010264857164,3561.0114135865683
alpha_district|Vitória,1.0009853899249024,6424.186618063441
alpha_district|Vitória da Conquista,1.0062122214179017,691.6073407442615
